,기입날짜,별점,옵션,후기
0,23.04.13.,5,"선택: 11.갓볶은 도라지차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","식감이아주좋아요.
만족합니다"
1,23.04.13.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","작두콩차는 처음 먹어보는데 구수하니 맛나네요 
개별 포장으로 되어있어서 직장에 가져가서 먹기 좋아요 미세먼지때문에 물 많이 먹는데 몇번 우려도 맛이 괜찮아요!!"
2,23.04.13.,5,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",최근 일년동안 하루도 빠짐없이 작두콩차를 끓였습니다. 이곳저곳 하도 다 사먹어봐서 모양만 봐도 좋은지 알겠더라구요. 갠적으로 한살림이 제일 구수하고 맛있었는데 가격 제품상태 다 고려해서 보면 여기가 최고인것 같습니다! 자주 이용할게요!
3,23.04.13.,5,"선택: 09.갓볶은 비트차 400g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","포장도 예쁘게 되어 있어서 받았을 때 느낌이 좋았어요 끓인물에 조각을 몇조각 넣었는데 예쁜 빨간색이 우러나오네요 왼쪽은 이번 구입한 상품, 오른쪽은 저번에 구입한 다른 비트차(쪄서 볶은)예요 글쎄 건강에는 어떤게 좋은지 모르지만요 비트차 색깔이 예술이예요"
4,23.04.13.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",돼지감자가 당뇨에도 좋고 혈당을 급하게 올리지 않게하는 역할을 하기때문에 다이어트에도 좋을 것 같아요. 지금 여주차를 마시고 효과보는 중인데 조금 지겨워서 병행하려고요. 연하게 해서 마시니 우엉차랑 비슷한 느낌이네요. 포장도 꼼꼼하고 위생적으로 되어 있어서 좋았어요. 3분간만 우려서 마시면되니 끓여먹는것보다 훨씬 편하고 티백으로 되어있어 손 갈게 별로 없습니다.
5,23.04.12.,5,"선택: 05.갓볶은 여주차 100g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","잘받았습니다
먹기편하게 깔끔해요"
6,23.04.12.,5,"선택: 14.호박팥차 20T(2gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",몸이 건강해지는 느낌이버나
7,23.04.12.,5,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","우고래빗 작두콩차 너무 좋습니다! 
저의 기관지 보호를 항상 책임져주는 소중이입니다 양도 많고 맛도 좋습니다~"
8,23.04.11.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","너무너무 고소하고 빠르게 우러나서 
매일 아침마다 마셔요 여기 차 너무 좋네요!!!
패키징이 이뻐서 지인 선물로도 사야겠어요"
9,23.04.11.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","오 이렇게 패키징을 주셔서 너무너무 편리해요!!
옛날에 우고래빗에서 차를 시켰을 때에는 낱개포장이 안되어 있었던 것 같은데 역시😍
그리고 차가 너무 진하고 고소해요 우고래빗꺼 먹으면 다른데꺼 못먹어요!!"
10,23.04.11.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",남자친구가 맛있다고하네요 ㅎㅎ
11,23.04.11.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",음용방법도 써잇고 국산에 유통기한도 넉넉해서 좋아여 돼지감자차 맛이 궁금했는데 구수한 보리차 맛이에요 잘 마시겠습니다
